protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,ftp,SF,160.0,597.0,1.0,1.0
tcp,telnet,REJ,0.0,0.0,4.0,10.0
tcp,http,RSTR,47744.0,0.0,43.0,43.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,ftp,SF,1043.0,2278.0,1.0,1.0
tcp,ftp_data,SF,12.0,0.0,2.0,2.0
tcp,http,S0,0.0,0.0,118.0,118.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,telnet,SF,294.0,3929.0,1.0,1.0
tcp,telnet,REJ,0.0,0.0,4.0,21.0
tcp,pop_3,RSTO,0.0,36.0,3.0,7.0
tcp,finger,S0,0.0,0.0,1.0,2.0
tcp,http,RSTR,56504.0,0.0,69.0,69.0
tcp,http,RSTR,74024.0,0.0,27.0,27.0
icmp,eco_i,SF,10008.0,0.0,2.0,2.0
tcp,sunrpc,REJ,0.0,0.0,5.0,3.0
tcp,pop_3,RSTO,0.0,36.0,3.0,11.0
tcp,http,RSTR,61504.0,1.0,48.0,48.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,telnet,SF,260.0,2611.0,1.0,1.0
tcp,other,REJ,0.0,0.0,499.0,1.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,pm_dump,SF,44.0,192.0,5.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,70.0
tcp,finger,S0,0.0,0.0,218.0,8.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,http,S0,0.0,0.0,96.0,96.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,ftp,SF,164.0,601.0,1.0,1.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,ftp,SF,1226.0,2451.0,1.0,1.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,shell,RSTO,0.0,0.0,113.0,9.0
tcp,telnet,S3,0.0,44.0,2.0,1.0
tcp,http,SF,54540.0,8314.0,5.0,5.0
tcp,http,S0,0.0,0.0,70.0,70.0
tcp,http,RSTR,57184.0,1.0,23.0,23.0
tcp,pop_3,RSTO,0.0,36.0,3.0,8.0
icmp,eco_i,SF,20.0,0.0,1.0,56.0
tcp,pop_3,RSTO,0.0,36.0,2.0,3.0
icmp,eco_i,SF,20.0,0.0,1.0,67.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,http,SF,54540.0,8314.0,5.0,5.0
tcp,http,S0,0.0,0.0,65.0,65.0
tcp,private,S0,0.0,0.0,130.0,18.0
tcp,http,RSTR,72564.0,0.0,8.0,8.0
tcp,smtp,SF,0.0,84.0,1.0,1.0
tcp,http,RSTR,59424.0,0.0,27.0,27.0
tcp,ftp,SF,1251.0,2451.0,1.0,1.0
tcp,http,RSTR,72564.0,0.0,9.0,9.0
tcp,finger,SF,9.0,44.0,3.0,3.0
tcp,ftp,SF,160.0,595.0,1.0,1.0
tcp,sunrpc,REJ,0.0,0.0,4.0,20.0
tcp,ftp,SF,1044.0,2279.0,1.0,1.0
tcp,imap4,REJ,0.0,0.0,2.0,11.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,http,RSTR,20004.0,0.0,72.0,72.0
tcp,other,REJ,0.0,0.0,508.0,1.0
tcp,http,RSTR,21464.0,0.0,72.0,72.0
tcp,http,S0,0.0,0.0,110.0,110.0
tcp,finger,RSTO,0.0,0.0,40.0,12.0
tcp,private,S0,0.0,0.0,100.0,4.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,http,RSTR,57964.0,0.0,18.0,18.0
tcp,telnet,RSTO,0.0,15.0,4.0,12.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,ftp,SF,1222.0,2451.0,1.0,1.0
tcp,other,REJ,0.0,0.0,509.0,1.0
tcp,ftp_data,SF,12.0,0.0,2.0,2.0
tcp,ftp,SF,158.0,595.0,1.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,75.0
tcp,private,REJ,0.0,0.0,124.0,11.0
tcp,private,REJ,0.0,0.0,125.0,7.0
tcp,http,RSTR,91544.0,0.0,2.0,2.0
icmp,eco_i,SF,20.0,0.0,1.0,65.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,http,RSTR,57964.0,0.0,73.0,73.0
tcp,http,RSTR,88064.0,0.0,10.0,10.0
tcp,http,RSTR,55744.0,0.0,13.0,13.0
tcp,pop_3,RSTO,0.0,36.0,3.0,4.0
tcp,ctf,S0,0.0,0.0,114.0,3.0
tcp,pop_3,RSTO,0.0,36.0,2.0,6.0
tcp,other,REJ,0.0,0.0,1.0,1.0
tcp,http,RSTR,77344.0,0.0,29.0,29.0
tcp,http,RSTR,72564.0,0.0,29.0,29.0
icmp,eco_i,SF,20.0,0.0,1.0,60.0
icmp,eco_i,SF,20.0,0.0,1.0,66.0
tcp,http,RSTR,56504.0,1.0,55.0,55.0
tcp,http,RSTR,60884.0,0.0,17.0,17.0
tcp,imap4,RSTO,0.0,44.0,2.0,7.0
tcp,pm_dump,SF,44.0,192.0,5.0,2.0
tcp,http,RSTR,56504.0,1.0,41.0,41.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,sunrpc,REJ,0.0,0.0,4.0,8.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,http,REJ,0.0,0.0,1.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,65.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,pm_dump,SF,44.0,192.0,5.0,1.0
tcp,imap4,RSTO,0.0,44.0,2.0,4.0
tcp,http,S3,60884.0,0.0,17.0,17.0
tcp,http,RSTR,93004.0,0.0,10.0,10.0
tcp,ftp_data,REJ,0.0,0.0,31.0,20.0
tcp,http,S0,0.0,0.0,55.0,55.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,http,S0,0.0,0.0,58.0,58.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,http,RSTR,59424.0,0.0,92.0,92.0
tcp,ftp,SF,1222.0,2451.0,1.0,1.0
tcp,http,RSTR,60064.0,1.0,36.0,36.0
tcp,supdup,REJ,0.0,0.0,121.0,13.0
tcp,telnet,SF,0.0,48.0,4.0,10.0
icmp,eco_i,SF,20.0,0.0,1.0,67.0
tcp,telnet,RSTO,0.0,0.0,30.0,6.0
tcp,http,S0,0.0,0.0,87.0,87.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,http,RSTR,57964.0,1.0,78.0,78.0
tcp,http,RSTR,81324.0,0.0,8.0,8.0
tcp,http,RSTR,62344.0,0.0,52.0,52.0
tcp,http,RSTR,60064.0,0.0,24.0,24.0
tcp,private,REJ,0.0,0.0,261.0,8.0
tcp,http,RSTR,62344.0,0.0,43.0,43.0
tcp,telnet,REJ,0.0,0.0,3.0,5.0
tcp,ftp,SF,158.0,595.0,1.0,1.0
icmp,ecr_i,SF,8.0,0.0,2.0,2.0
tcp,smtp,REJ,0.0,0.0,1.0,1.0
tcp,telnet,SF,24.0,154.0,4.0,9.0
udp,domain_u,SF,1.0,1.0,3.0,16.0
tcp,http,RSTR,56504.0,0.0,78.0,78.0
tcp,imap4,RSTO,0.0,138.0,2.0,2.0
tcp,telnet,S3,1.0,15.0,1.0,1.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,sunrpc,REJ,0.0,0.0,5.0,5.0
tcp,http,RSTR,72564.0,0.0,13.0,13.0
tcp,http,RSTR,55744.0,1.0,31.0,31.0
tcp,http,RSTR,56504.0,0.0,10.0,10.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,http,RSTR,56504.0,0.0,8.0,8.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,private,S0,0.0,0.0,221.0,10.0
tcp,pop_3,RSTO,0.0,36.0,3.0,3.0
tcp,http,RSTR,2484.0,0.0,85.0,85.0
tcp,http,RSTR,75484.0,0.0,59.0,59.0
tcp,telnet,S3,1.0,15.0,1.0,1.0
tcp,http,S0,0.0,0.0,82.0,82.0
tcp,http,RSTR,60884.0,1.0,50.0,50.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
tcp,pop_3,RSTO,0.0,36.0,3.0,3.0
tcp,ftp_data,SF,832.0,0.0,1.0,1.0
tcp,sunrpc,REJ,0.0,0.0,4.0,12.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
icmp,eco_i,SF,20.0,0.0,1.0,66.0
tcp,login,RSTO,0.0,0.0,143.0,10.0
tcp,ftp,SF,1266.0,2451.0,1.0,1.0
tcp,http,S0,0.0,0.0,108.0,108.0
tcp,http,RSTR,62344.0,0.0,40.0,40.0
tcp,pop_3,RSTO,0.0,36.0,2.0,9.0
tcp,private,REJ,0.0,0.0,217.0,15.0
tcp,smtp,REJ,0.0,0.0,1.0,1.0
tcp,pop_3,SF,0.0,0.0,2.0,6.0
tcp,ftp,SF,160.0,595.0,1.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,65.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
icmp,eco_i,SF,20.0,0.0,1.0,60.0
tcp,ftp,SF,1151.0,2445.0,1.0,1.0
tcp,telnet,REJ,0.0,0.0,4.0,11.0
tcp,http,S0,0.0,0.0,120.0,120.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
icmp,ecr_i,SF,20008.0,0.0,3.0,3.0
tcp,http,RSTR,57964.0,0.0,24.0,24.0
tcp,imap4,RSTO,0.0,44.0,2.0,4.0
tcp,http,RSTR,74024.0,0.0,26.0,26.0
icmp,eco_i,SF,20.0,0.0,1.0,59.0
tcp,imap4,SF,0.0,0.0,2.0,3.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,telnet,SF,24.0,715.0,3.0,3.0
tcp,imap4,RSTO,0.0,44.0,2.0,2.0
tcp,ftp,SF,1196.0,2449.0,1.0,1.0
tcp,http,S0,0.0,0.0,89.0,89.0
tcp,ftp,SF,1238.0,2449.0,1.0,1.0
tcp,http,RSTR,87164.0,0.0,10.0,10.0
tcp,iso_tsap,S0,0.0,0.0,233.0,2.0
tcp,http,RSTR,72564.0,0.0,11.0,11.0
tcp,http,RSTR,72564.0,0.0,8.0,8.0
tcp,ftp_data,SF,5135678.0,0.0,1.0,1.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,ftp,SF,162.0,599.0,1.0,1.0
tcp,ftp,SF,1239.0,2449.0,1.0,1.0
tcp,telnet,SF,0.0,48.0,4.0,18.0
tcp,telnet,SF,24.0,109.0,3.0,2.0
tcp,http,RSTR,75904.0,0.0,34.0,34.0
tcp,telnet,REJ,0.0,0.0,4.0,8.0
tcp,ftp_data,SF,5133876.0,0.0,1.0,1.0
tcp,http,RSTR,61504.0,0.0,28.0,28.0
tcp,private,REJ,0.0,0.0,128.0,2.0
tcp,ftp,SF,1143.0,2445.0,1.0,1.0
tcp,http,RSTR,60884.0,0.0,81.0,81.0
tcp,telnet,RSTO,0.0,0.0,11.0,1.0
tcp,imap4,REJ,0.0,0.0,2.0,4.0
tcp,pop_3,REJ,0.0,0.0,3.0,3.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,imap4,RSTO,0.0,44.0,3.0,6.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
tcp,http,RSTR,59424.0,0.0,80.0,80.0
tcp,ftp_data,SF,0.0,3249.0,1.0,1.0
tcp,telnet,RSTO,0.0,15.0,1.0,15.0
tcp,http,S0,0.0,0.0,94.0,94.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,private,REJ,0.0,0.0,242.0,11.0
tcp,http,RSTR,56504.0,0.0,9.0,9.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,private,REJ,0.0,0.0,220.0,3.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,pop_3,RSTO,0.0,36.0,2.0,2.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,finger,RSTO,0.0,0.0,30.0,10.0
tcp,http,RSTR,62344.0,0.0,90.0,90.0
tcp,imap4,REJ,0.0,0.0,2.0,18.0
tcp,sunrpc,REJ,0.0,0.0,4.0,3.0
tcp,imap4,SF,0.0,0.0,3.0,1.0
tcp,http,S0,0.0,0.0,72.0,72.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
tcp,ftp_data,SF,246.0,0.0,2.0,2.0
tcp,pop_3,RSTO,0.0,36.0,4.0,10.0
tcp,ftp,SF,1143.0,2445.0,1.0,1.0
tcp,http,RSTR,72868.0,0.0,10.0,10.0
tcp,pop_3,REJ,0.0,0.0,3.0,22.0
tcp,http,RSTR,81324.0,0.0,8.0,8.0
tcp,domain,REJ,0.0,0.0,1.0,1.0
tcp,http,RSTR,57964.0,0.0,45.0,45.0
tcp,imap4,RSTO,0.0,44.0,1.0,10.0
tcp,sunrpc,REJ,0.0,0.0,5.0,2.0
tcp,http,S0,0.0,0.0,89.0,89.0
tcp,http,S0,0.0,0.0,64.0,64.0
tcp,ftp,SF,1197.0,2449.0,1.0,1.0
tcp,ftp_data,SF,246.0,0.0,1.0,1.0
tcp,telnet,REJ,0.0,0.0,4.0,17.0
tcp,private,SH,0.0,0.0,2.0,1.0
tcp,link,REJ,0.0,0.0,263.0,19.0
tcp,http,RSTR,57964.0,0.0,72.0,72.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,pop_3,REJ,0.0,0.0,3.0,8.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,ftp_data,SF,5133876.0,0.0,1.0,1.0
tcp,ftp,SF,162.0,599.0,1.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,55.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,private,S0,0.0,0.0,246.0,10.0
tcp,telnet,RSTO,0.0,15.0,1.0,23.0
tcp,http,S0,0.0,0.0,99.0,99.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,pop_3,REJ,0.0,0.0,2.0,20.0
tcp,ftp_data,S2,246.0,0.0,1.0,1.0
tcp,http,S0,0.0,0.0,86.0,86.0
tcp,http,S0,0.0,0.0,80.0,80.0
tcp,telnet,REJ,0.0,0.0,2.0,6.0
tcp,http,RSTR,82944.0,0.0,11.0,11.0
tcp,http,RSTR,75904.0,1.0,46.0,46.0
tcp,http,RSTR,76944.0,1.0,12.0,12.0
tcp,private,REJ,0.0,0.0,272.0,8.0
tcp,telnet,REJ,0.0,0.0,2.0,9.0
udp,private,SF,1.0,1.0,17.0,1.0
tcp,http,RSTR,57964.0,0.0,38.0,38.0
icmp,eco_i,SF,20.0,0.0,1.0,42.0
tcp,ftp_data,SF,5135678.0,0.0,1.0,1.0
tcp,http,RSTR,74024.0,0.0,23.0,23.0
tcp,telnet,RSTO,0.0,15.0,4.0,10.0
icmp,ecr_i,SF,8.0,0.0,2.0,2.0
tcp,telnet,S3,0.0,44.0,2.0,1.0
tcp,ftp_data,SF,5131424.0,0.0,2.0,1.0
tcp,imap4,RSTO,0.0,44.0,2.0,6.0
tcp,pop_3,RSTO,0.0,36.0,3.0,3.0
tcp,imap4,RSTO,0.0,44.0,2.0,9.0
tcp,telnet,SF,0.0,15.0,1.0,1.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
tcp,sunrpc,REJ,0.0,0.0,5.0,4.0
tcp,private,REJ,0.0,0.0,38.0,18.0
icmp,eco_i,SF,20.0,0.0,1.0,53.0
tcp,pop_3,RSTO,0.0,36.0,3.0,5.0
tcp,http,S0,0.0,0.0,67.0,67.0
icmp,eco_i,SF,20.0,0.0,1.0,66.0
tcp,sunrpc,REJ,0.0,0.0,4.0,6.0
tcp,http,RSTR,72564.0,0.0,9.0,9.0
tcp,ftp,SF,1222.0,2449.0,1.0,1.0
tcp,http,RSTR,56504.0,0.0,9.0,9.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,telnet,SF,0.0,15.0,1.0,1.0
tcp,pop_3,RSTO,0.0,36.0,3.0,6.0
tcp,http,S0,0.0,0.0,66.0,66.0
icmp,eco_i,SF,40008.0,0.0,3.0,3.0
tcp,telnet,S0,0.0,0.0,1.0,9.0
tcp,http,RSTR,72564.0,0.0,8.0,8.0
tcp,telnet,REJ,0.0,0.0,4.0,15.0
tcp,pop_3,RSTO,0.0,36.0,3.0,4.0
tcp,ftp,SF,164.0,601.0,1.0,1.0
tcp,private,S0,0.0,0.0,226.0,12.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,telnet,RSTO,0.0,15.0,4.0,15.0
tcp,ftp_data,SF,0.0,3249.0,1.0,1.0
tcp,ftp,SF,1218.0,2449.0,1.0,1.0
tcp,http,RSTR,77344.0,1.0,54.0,54.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,ftp,SF,1248.0,2449.0,1.0,1.0
tcp,private,REJ,0.0,0.0,145.0,4.0
tcp,ftp_data,SF,246.0,0.0,1.0,1.0
tcp,sunrpc,REJ,0.0,0.0,4.0,4.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,http,RSTR,57964.0,0.0,74.0,74.0
tcp,http,RSTR,59424.0,1.0,33.0,33.0
icmp,eco_i,SF,20.0,0.0,1.0,51.0
tcp,http,RSTR,74024.0,0.0,9.0,9.0
icmp,ecr_i,SF,40008.0,0.0,3.0,3.0
icmp,eco_i,SF,20.0,0.0,1.0,32.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,imap4,SF,1345.0,10036.0,1.0,1.0
tcp,printer,RSTO,0.0,0.0,133.0,9.0
tcp,sunrpc,REJ,0.0,0.0,4.0,6.0
tcp,ftp,SF,164.0,599.0,1.0,1.0
tcp,http,S0,0.0,0.0,121.0,121.0
tcp,ftp_data,SF,334.0,0.0,2.0,2.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,http,RSTR,87164.0,0.0,6.0,6.0
tcp,http,RSTR,57184.0,0.0,31.0,31.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,imap4,REJ,0.0,0.0,2.0,18.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,ftp,SF,1194.0,2447.0,1.0,1.0
tcp,sunrpc,REJ,0.0,0.0,4.0,5.0
tcp,imap4,RSTO,0.0,44.0,2.0,3.0
tcp,pop_3,RSTO,0.0,36.0,1.0,5.0
tcp,sunrpc,REJ,0.0,0.0,4.0,3.0
tcp,pop_3,RSTO,0.0,36.0,3.0,4.0
tcp,imap4,REJ,0.0,0.0,2.0,5.0
tcp,http,RSTR,53584.0,0.0,31.0,31.0
tcp,whois,REJ,0.0,0.0,262.0,9.0
tcp,pop_3,RSTO,0.0,36.0,2.0,3.0
tcp,pm_dump,SF,44.0,556.0,5.0,2.0
tcp,pop_3,REJ,0.0,0.0,3.0,8.0
tcp,other,REJ,0.0,0.0,509.0,1.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
tcp,pop_3,RSTO,0.0,36.0,3.0,2.0
tcp,http,RSTR,56504.0,0.0,24.0,24.0
tcp,imap4,RSTO,0.0,44.0,2.0,13.0
tcp,http,RSTR,12704.0,0.0,27.0,27.0
tcp,ftp_data,SF,5133876.0,0.0,1.0,1.0
icmp,eco_i,SF,20.0,0.0,1.0,60.0
tcp,ftp_data,SF,832.0,0.0,1.0,1.0
tcp,ftp_data,SF,283618.0,0.0,1.0,1.0
tcp,ftp_data,SF,334.0,0.0,1.0,1.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,http,RSTR,56504.0,0.0,82.0,82.0
tcp,sunrpc,REJ,0.0,0.0,4.0,8.0
tcp,ftp_data,SF,283618.0,0.0,2.0,2.0
tcp,http,RSTR,60884.0,0.0,67.0,67.0
tcp,sunrpc,REJ,0.0,0.0,3.0,7.0
tcp,http,RSTR,72564.0,0.0,10.0,10.0
