protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,Predicted_Label
tcp,ldap,S0,0.0,0.0,112.0,12.0,neptune
tcp,netstat,S0,0.0,0.0,193.0,1.0,neptune
tcp,private,S0,0.0,0.0,221.0,19.0,neptune
tcp,systat,S0,0.0,0.0,300.0,7.0,neptune
tcp,uucp,S0,0.0,0.0,129.0,4.0,neptune
tcp,pop_2,S0,0.0,0.0,260.0,9.0,neptune
icmp,eco_i,SF,8.0,0.0,1.0,17.0,ipsweep
tcp,private,S0,0.0,0.0,147.0,6.0,neptune
icmp,ecr_i,SF,1480.0,0.0,18.0,18.0,pod
tcp,private,S0,0.0,0.0,238.0,1.0,neptune
icmp,eco_i,SF,8.0,0.0,1.0,8.0,nmap
tcp,other,RSTR,0.0,0.0,1.0,1.0,portsweep
tcp,private,S0,0.0,0.0,123.0,8.0,neptune
tcp,private,S0,0.0,0.0,175.0,18.0,neptune
tcp,netbios_ns,REJ,0.0,0.0,132.0,18.0,neptune
tcp,nntp,S0,0.0,0.0,260.0,10.0,neptune
tcp,ftp_data,SF,12.0,0.0,2.0,2.0,unknown
tcp,nntp,S0,0.0,0.0,296.0,14.0,neptune
tcp,private,S0,0.0,0.0,150.0,16.0,neptune
tcp,telnet,S0,0.0,0.0,26.0,6.0,neptune
tcp,private,REJ,0.0,0.0,285.0,3.0,neptune
icmp,eco_i,SF,8.0,0.0,1.0,4.0,ipsweep
icmp,ecr_i,SF,1480.0,0.0,1.0,3.0,pod
icmp,eco_i,SF,8.0,0.0,1.0,49.0,ipsweep
tcp,netbios_ssn,S0,0.0,0.0,14.0,5.0,neptune
tcp,http,S0,0.0,0.0,98.0,98.0,unknown
tcp,private,S0,0.0,0.0,292.0,7.0,neptune
tcp,kshell,S0,0.0,0.0,31.0,15.0,neptune
tcp,private,S0,0.0,0.0,153.0,2.0,neptune
icmp,ecr_i,SF,520.0,0.0,449.0,449.0,smurf
tcp,http,S0,0.0,0.0,150.0,20.0,neptune
tcp,private,RSTO,0.0,0.0,257.0,10.0,neptune
tcp,telnet,RSTO,0.0,12.0,4.0,24.0,unknown
tcp,uucp_path,REJ,0.0,0.0,233.0,1.0,neptune
tcp,http,SF,54540.0,8314.0,4.0,10.0,back
tcp,telnet,S0,0.0,0.0,231.0,18.0,neptune
tcp,courier,S0,0.0,0.0,141.0,18.0,neptune
tcp,private,S0,0.0,0.0,255.0,2.0,neptune
tcp,private,S0,0.0,0.0,143.0,7.0,neptune
tcp,private,S0,0.0,0.0,253.0,1.0,neptune
tcp,private,REJ,0.0,0.0,231.0,1.0,neptune
icmp,eco_i,SF,8.0,0.0,1.0,15.0,ipsweep
tcp,uucp,S0,0.0,0.0,144.0,19.0,neptune
tcp,Z39_50,S0,0.0,0.0,268.0,15.0,neptune
tcp,netbios_ssn,S0,0.0,0.0,277.0,8.0,neptune
tcp,private,REJ,0.0,0.0,223.0,20.0,neptune
tcp,time,S0,0.0,0.0,200.0,2.0,neptune
tcp,private,S0,0.0,0.0,166.0,17.0,neptune
tcp,private,S0,0.0,0.0,238.0,12.0,neptune
tcp,ldap,S0,0.0,0.0,123.0,5.0,neptune
tcp,ctf,S0,0.0,0.0,216.0,16.0,neptune
tcp,private,S0,0.0,0.0,224.0,14.0,neptune
tcp,supdup,S0,0.0,0.0,192.0,7.0,neptune
tcp,private,S0,0.0,0.0,89.0,14.0,neptune
udp,private,SF,1.0,1.0,72.0,1.0,satan
tcp,auth,REJ,0.0,0.0,255.0,4.0,neptune
tcp,other,REJ,0.0,0.0,511.0,1.0,satan
udp,private,SF,28.0,0.0,82.0,80.0,teardrop
tcp,private,REJ,0.0,0.0,234.0,19.0,neptune
tcp,other,REJ,0.0,0.0,414.0,1.0,satan
tcp,private,S0,0.0,0.0,80.0,18.0,neptune
tcp,uucp,S0,0.0,0.0,134.0,5.0,neptune
tcp,telnet,SF,0.0,15.0,1.0,1.0,unknown
icmp,eco_i,SF,8.0,0.0,1.0,49.0,nmap
tcp,finger,S0,0.0,0.0,217.0,24.0,neptune
tcp,private,S0,0.0,0.0,131.0,15.0,neptune
tcp,private,S0,0.0,0.0,269.0,13.0,neptune
tcp,private,S0,0.0,0.0,104.0,14.0,neptune
tcp,private,S0,0.0,0.0,294.0,18.0,neptune
tcp,http,RSTR,72564.0,0.0,13.0,13.0,unknown
tcp,telnet,S0,0.0,0.0,256.0,5.0,neptune
tcp,efs,S0,0.0,0.0,149.0,19.0,neptune
tcp,iso_tsap,S0,0.0,0.0,157.0,12.0,neptune
tcp,private,S0,0.0,0.0,240.0,5.0,neptune
tcp,private,S0,0.0,0.0,138.0,1.0,neptune
tcp,private,S0,0.0,0.0,92.0,3.0,neptune
icmp,eco_i,SF,8.0,0.0,1.0,10.0,ipsweep
tcp,netbios_ssn,REJ,0.0,0.0,238.0,1.0,neptune
tcp,private,S0,0.0,0.0,282.0,13.0,neptune
tcp,http,SF,54540.0,8314.0,3.0,3.0,back
tcp,http,RSTR,72564.0,0.0,13.0,13.0,unknown
tcp,http,S0,0.0,0.0,289.0,22.0,neptune
icmp,ecr_i,SF,1032.0,0.0,511.0,511.0,smurf
tcp,time,RSTO,0.0,0.0,229.0,15.0,neptune
tcp,private,REJ,0.0,0.0,227.0,20.0,neptune
tcp,nnsp,S0,0.0,0.0,120.0,5.0,neptune
tcp,domain,S0,0.0,0.0,220.0,16.0,neptune
tcp,ftp_data,S0,0.0,0.0,34.0,14.0,neptune
tcp,uucp,S0,0.0,0.0,145.0,19.0,neptune
tcp,other,REJ,0.0,0.0,404.0,1.0,satan
tcp,private,REJ,0.0,0.0,266.0,11.0,neptune
icmp,ecr_i,SF,1032.0,0.0,511.0,511.0,smurf
tcp,netbios_ns,S0,0.0,0.0,218.0,1.0,neptune
tcp,finger,RSTO,0.0,0.0,272.0,7.0,neptune
udp,other,SF,1.0,0.0,94.0,4.0,satan
tcp,private,S0,0.0,0.0,90.0,1.0,neptune
tcp,netstat,S0,0.0,0.0,130.0,1.0,neptune
tcp,systat,S0,0.0,0.0,137.0,16.0,neptune
tcp,nnsp,S0,0.0,0.0,142.0,13.0,neptune
udp,private,SF,1.0,26.0,17.0,16.0,satan
tcp,sunrpc,S0,0.0,0.0,216.0,2.0,neptune
tcp,http,RSTR,61504.0,0.0,36.0,36.0,unknown
tcp,exec,RSTO,0.0,0.0,138.0,10.0,neptune
tcp,other,REJ,0.0,0.0,369.0,1.0,satan
tcp,private,S0,0.0,0.0,261.0,8.0,neptune
tcp,private,S0,0.0,0.0,114.0,7.0,neptune
tcp,imap4,S0,0.0,0.0,1.0,3.0,neptune
tcp,private,S0,0.0,0.0,108.0,2.0,neptune
tcp,bgp,REJ,0.0,0.0,252.0,13.0,neptune
tcp,http_443,S0,0.0,0.0,99.0,13.0,neptune
tcp,uucp_path,S0,0.0,0.0,272.0,8.0,neptune
tcp,imap4,REJ,0.0,0.0,2.0,7.0,unknown
tcp,supdup,S0,0.0,0.0,249.0,1.0,neptune
tcp,bgp,S0,0.0,0.0,259.0,2.0,neptune
tcp,ftp_data,SF,334.0,0.0,1.0,1.0,unknown
tcp,private,REJ,0.0,0.0,106.0,7.0,neptune
tcp,nntp,RSTO,0.0,0.0,264.0,16.0,neptune
tcp,whois,S0,0.0,0.0,211.0,11.0,neptune
tcp,private,S0,0.0,0.0,282.0,18.0,neptune
tcp,private,S0,0.0,0.0,100.0,6.0,neptune
tcp,pop_3,S0,0.0,0.0,1.0,1.0,neptune
tcp,uucp,S0,0.0,0.0,104.0,4.0,neptune
tcp,gopher,S0,0.0,0.0,234.0,3.0,neptune
udp,private,SF,28.0,0.0,57.0,57.0,teardrop
tcp,netbios_ns,S0,0.0,0.0,246.0,8.0,neptune
tcp,private,REJ,0.0,0.0,262.0,20.0,neptune
icmp,ecr_i,SF,1008.0,0.0,275.0,275.0,smurf
tcp,pop_3,RSTO,0.0,36.0,4.0,3.0,unknown
tcp,telnet,S0,0.0,0.0,79.0,20.0,neptune
tcp,ldap,S0,0.0,0.0,114.0,14.0,neptune
tcp,private,S0,0.0,0.0,120.0,10.0,neptune
tcp,hostnames,S0,0.0,0.0,231.0,1.0,neptune
tcp,http,S0,0.0,0.0,107.0,107.0,unknown
icmp,ecr_i,SF,508.0,0.0,416.0,416.0,smurf
tcp,courier,S0,0.0,0.0,105.0,11.0,neptune
tcp,daytime,S0,0.0,0.0,197.0,1.0,neptune
tcp,uucp_path,S0,0.0,0.0,263.0,16.0,neptune
tcp,private,S0,0.0,0.0,135.0,14.0,neptune
tcp,private,REJ,0.0,0.0,292.0,13.0,neptune
tcp,private,S0,0.0,0.0,115.0,3.0,neptune
tcp,efs,S0,0.0,0.0,76.0,14.0,neptune
tcp,csnet_ns,REJ,0.0,0.0,286.0,14.0,neptune
tcp,http_443,S0,0.0,0.0,150.0,23.0,neptune
tcp,uucp_path,S0,0.0,0.0,206.0,15.0,neptune
tcp,private,S0,0.0,0.0,155.0,19.0,neptune
tcp,private,RSTR,0.0,0.0,3.0,1.0,portsweep
tcp,private,REJ,0.0,0.0,125.0,19.0,neptune
tcp,mtp,REJ,0.0,0.0,232.0,18.0,neptune
tcp,private,REJ,0.0,0.0,136.0,6.0,neptune
tcp,uucp,RSTO,0.0,0.0,120.0,16.0,neptune
tcp,ftp_data,S0,0.0,0.0,20.0,20.0,neptune
tcp,private,S0,0.0,0.0,219.0,4.0,neptune
tcp,nntp,RSTO,0.0,0.0,173.0,5.0,neptune
tcp,private,REJ,0.0,0.0,259.0,12.0,neptune
icmp,ecr_i,SF,1032.0,0.0,511.0,511.0,smurf
tcp,telnet,SF,24.0,574.0,3.0,6.0,unknown
tcp,other,REJ,0.0,0.0,510.0,1.0,satan
icmp,eco_i,SF,8.0,0.0,1.0,42.0,ipsweep
tcp,link,REJ,0.0,0.0,273.0,18.0,neptune
tcp,uucp_path,REJ,0.0,0.0,221.0,8.0,neptune
tcp,private,S0,0.0,0.0,222.0,20.0,neptune
icmp,eco_i,SF,18.0,0.0,1.0,1.0,ipsweep
tcp,uucp_path,S0,0.0,0.0,286.0,20.0,neptune
tcp,private,S0,0.0,0.0,190.0,20.0,neptune
tcp,private,S0,0.0,0.0,238.0,20.0,neptune
tcp,private,REJ,0.0,0.0,289.0,18.0,neptune
tcp,private,REJ,0.0,0.0,118.0,12.0,neptune
tcp,private,REJ,0.0,0.0,104.0,15.0,neptune
tcp,private,REJ,0.0,0.0,203.0,3.0,neptune
udp,private,SF,1.0,0.0,66.0,2.0,satan
tcp,imap4,S0,0.0,0.0,287.0,12.0,neptune
tcp,other,REJ,0.0,0.0,398.0,1.0,satan
icmp,eco_i,SF,8.0,0.0,1.0,35.0,ipsweep
tcp,http,RSTR,54540.0,7300.0,4.0,4.0,back
tcp,time,S0,0.0,0.0,221.0,18.0,neptune
tcp,finger,S0,0.0,0.0,32.0,17.0,neptune
tcp,discard,S0,0.0,0.0,195.0,1.0,neptune
tcp,private,REJ,0.0,0.0,223.0,17.0,neptune
icmp,ecr_i,SF,1032.0,0.0,72.0,72.0,smurf
tcp,private,S0,0.0,0.0,298.0,10.0,neptune
tcp,sql_net,REJ,0.0,0.0,194.0,1.0,satan
tcp,echo,S0,0.0,0.0,221.0,16.0,neptune
tcp,netbios_ssn,S0,0.0,0.0,239.0,19.0,neptune
udp,private,SF,28.0,0.0,46.0,46.0,teardrop
tcp,telnet,S0,0.0,0.0,13.0,8.0,neptune
tcp,other,RSTR,1.0,0.0,2.0,2.0,portsweep
tcp,private,REJ,0.0,0.0,134.0,6.0,neptune
tcp,pop_3,RSTO,0.0,36.0,3.0,7.0,unknown
tcp,efs,S0,0.0,0.0,94.0,2.0,neptune
tcp,uucp_path,REJ,0.0,0.0,263.0,16.0,neptune
tcp,kshell,S0,0.0,0.0,27.0,11.0,neptune
tcp,http,S0,0.0,0.0,79.0,79.0,unknown
icmp,eco_i,SF,8.0,0.0,1.0,28.0,ipsweep
icmp,eco_i,SF,8.0,0.0,1.0,45.0,ipsweep
udp,other,SF,1.0,0.0,2.0,2.0,satan
tcp,telnet,S0,0.0,0.0,265.0,14.0,neptune
tcp,X11,SF,6.0,0.0,8.0,1.0,unknown
udp,private,SF,100.0,0.0,1.0,1.0,nmap
tcp,klogin,S0,0.0,0.0,147.0,18.0,neptune
tcp,private,REJ,0.0,0.0,26.0,1.0,satan
tcp,uucp,S0,0.0,0.0,125.0,20.0,neptune
tcp,Z39_50,S0,0.0,0.0,233.0,12.0,neptune
tcp,exec,S0,0.0,0.0,142.0,12.0,neptune
icmp,eco_i,SF,40008.0,0.0,3.0,3.0,unknown
tcp,finger,S0,0.0,0.0,22.0,8.0,neptune
tcp,private,S0,0.0,0.0,245.0,7.0,neptune
tcp,supdup,REJ,0.0,0.0,146.0,16.0,neptune
udp,private,SF,1.0,0.0,485.0,2.0,satan
tcp,private,S0,0.0,0.0,112.0,20.0,neptune
tcp,netbios_ssn,S0,0.0,0.0,300.0,20.0,neptune
tcp,ftp,S0,0.0,0.0,247.0,10.0,neptune
tcp,other,REJ,0.0,0.0,511.0,1.0,satan
tcp,private,REJ,0.0,0.0,2.0,1.0,portsweep
tcp,uucp_path,S0,0.0,0.0,221.0,4.0,neptune
tcp,private,S0,0.0,0.0,148.0,14.0,neptune
tcp,private,REJ,0.0,0.0,224.0,20.0,neptune
tcp,private,REJ,0.0,0.0,453.0,1.0,satan
tcp,private,REJ,0.0,0.0,148.0,18.0,neptune
tcp,private,RSTO,0.0,0.0,114.0,18.0,neptune
tcp,http_443,S0,0.0,0.0,136.0,19.0,neptune
tcp,systat,S0,0.0,0.0,271.0,13.0,neptune
tcp,netbios_dgm,S0,0.0,0.0,287.0,22.0,neptune
tcp,private,REJ,0.0,0.0,146.0,10.0,neptune
tcp,time,S0,0.0,0.0,298.0,19.0,neptune
tcp,private,S0,0.0,0.0,126.0,14.0,neptune
tcp,ssh,S0,0.0,0.0,130.0,11.0,neptune
tcp,http,S0,0.0,0.0,33.0,18.0,neptune
tcp,private,REJ,0.0,0.0,297.0,1.0,satan
tcp,shell,S0,0.0,0.0,108.0,18.0,neptune
tcp,private,REJ,0.0,0.0,220.0,16.0,neptune
tcp,iso_tsap,REJ,0.0,0.0,281.0,11.0,neptune
tcp,private,SF,6.0,0.0,511.0,1.0,satan
udp,private,SF,1.0,1.0,68.0,1.0,satan
tcp,private,RSTR,0.0,0.0,37.0,2.0,portsweep
tcp,private,S0,0.0,0.0,129.0,9.0,neptune
tcp,http,SF,54540.0,8314.0,3.0,3.0,back
tcp,private,S0,0.0,0.0,230.0,16.0,neptune
tcp,private,REJ,0.0,0.0,1.0,1.0,ipsweep
tcp,http,SF,54540.0,8314.0,3.0,13.0,back
tcp,private,S0,0.0,0.0,129.0,21.0,neptune
tcp,auth,REJ,0.0,0.0,269.0,5.0,neptune
tcp,ftp,S0,0.0,0.0,149.0,1.0,neptune
udp,private,SF,1.0,0.0,10.0,6.0,satan
tcp,link,S0,0.0,0.0,269.0,7.0,neptune
tcp,link,S0,0.0,0.0,297.0,25.0,neptune
tcp,private,S0,0.0,0.0,144.0,18.0,neptune
tcp,private,S0,0.0,0.0,168.0,4.0,neptune
tcp,private,S0,0.0,0.0,35.0,1.0,neptune
tcp,other,REJ,0.0,0.0,509.0,1.0,satan
tcp,http,S0,0.0,0.0,281.0,20.0,neptune
tcp,ctf,S0,0.0,0.0,255.0,1.0,neptune
tcp,pop_3,REJ,0.0,0.0,2.0,8.0,unknown
icmp,ecr_i,SF,520.0,0.0,59.0,59.0,smurf
tcp,private,REJ,0.0,0.0,236.0,14.0,neptune
icmp,ecr_i,SF,1032.0,0.0,397.0,397.0,smurf
tcp,private,S0,0.0,0.0,96.0,24.0,neptune
tcp,daytime,RSTO,0.0,0.0,278.0,16.0,neptune
tcp,other,REJ,0.0,0.0,344.0,1.0,satan
tcp,http,RSTR,55744.0,1.0,47.0,47.0,unknown
tcp,private,REJ,0.0,0.0,262.0,16.0,neptune
icmp,ecr_i,SF,1032.0,0.0,511.0,511.0,smurf
tcp,private,REJ,0.0,0.0,290.0,17.0,neptune
tcp,http,SF,54540.0,8314.0,4.0,9.0,back
tcp,other,S0,0.0,0.0,509.0,1.0,satan
tcp,ftp_data,S0,0.0,0.0,252.0,11.0,neptune
icmp,ecr_i,SF,1008.0,0.0,510.0,510.0,smurf
tcp,domain,S0,0.0,0.0,119.0,24.0,neptune
tcp,ssh,S0,0.0,0.0,102.0,9.0,neptune
tcp,courier,S0,0.0,0.0,148.0,19.0,neptune
tcp,netstat,S0,0.0,0.0,163.0,6.0,neptune
tcp,vmnet,S0,0.0,0.0,123.0,12.0,neptune
tcp,other,REJ,0.0,0.0,460.0,1.0,unknown
tcp,private,S0,0.0,0.0,171.0,7.0,neptune
tcp,private,S0,0.0,0.0,263.0,4.0,neptune
tcp,efs,REJ,0.0,0.0,145.0,16.0,neptune
tcp,csnet_ns,S0,0.0,0.0,284.0,10.0,neptune
tcp,private,S0,0.0,0.0,226.0,2.0,neptune
tcp,private,S0,0.0,0.0,246.0,11.0,neptune
tcp,Z39_50,S0,0.0,0.0,228.0,12.0,neptune
tcp,private,S0,0.0,0.0,122.0,4.0,neptune
udp,private,SF,28.0,0.0,93.0,93.0,teardrop
tcp,ssh,S0,0.0,0.0,137.0,18.0,neptune
tcp,ctf,S0,0.0,0.0,300.0,14.0,neptune
tcp,vmnet,S0,0.0,0.0,212.0,23.0,neptune
tcp,courier,S0,0.0,0.0,130.0,21.0,neptune
tcp,auth,REJ,0.0,0.0,142.0,6.0,neptune
tcp,whois,REJ,0.0,0.0,273.0,19.0,neptune
tcp,iso_tsap,S0,0.0,0.0,54.0,12.0,neptune
tcp,efs,REJ,0.0,0.0,123.0,19.0,neptune
tcp,private,RSTR,0.0,0.0,1.0,1.0,portsweep
icmp,eco_i,SF,8.0,0.0,1.0,45.0,ipsweep
tcp,telnet,RSTO,0.0,0.0,226.0,12.0,neptune
tcp,time,S0,0.0,0.0,226.0,16.0,neptune
tcp,ftp_data,S0,0.0,0.0,18.0,4.0,neptune
tcp,private,REJ,0.0,0.0,221.0,1.0,neptune
tcp,auth,REJ,0.0,0.0,202.0,10.0,neptune
tcp,private,S0,0.0,0.0,247.0,9.0,neptune
tcp,nnsp,REJ,0.0,0.0,1.0,1.0,portsweep
tcp,http,S0,0.0,0.0,14.0,9.0,neptune
tcp,private,REJ,0.0,0.0,5.0,1.0,satan
tcp,pop_3,S0,0.0,0.0,276.0,16.0,neptune
tcp,private,REJ,0.0,0.0,135.0,3.0,neptune
tcp,private,S0,0.0,0.0,119.0,8.0,neptune
tcp,private,S0,0.0,0.0,112.0,5.0,neptune
tcp,systat,S0,0.0,0.0,118.0,12.0,neptune
udp,private,SF,1.0,0.0,1.0,1.0,satan
tcp,private,S0,0.0,0.0,51.0,5.0,neptune
tcp,mtp,S0,0.0,0.0,223.0,9.0,neptune
tcp,private,REJ,0.0,0.0,253.0,2.0,neptune
tcp,http,SF,54540.0,8314.0,3.0,4.0,back
tcp,ctf,S0,0.0,0.0,289.0,23.0,neptune
tcp,uucp,S0,0.0,0.0,142.0,16.0,neptune
tcp,private,REJ,0.0,0.0,94.0,1.0,satan
tcp,uucp,S0,0.0,0.0,16.0,2.0,neptune
tcp,courier,S0,0.0,0.0,137.0,7.0,neptune
tcp,private,S0,0.0,0.0,287.0,16.0,neptune
tcp,http,RSTR,56504.0,0.0,83.0,83.0,unknown
udp,other,SF,1.0,1.0,155.0,1.0,satan
tcp,http,SF,54540.0,8314.0,4.0,4.0,back
tcp,gopher,REJ,0.0,0.0,244.0,16.0,neptune
tcp,http,SF,54540.0,8314.0,4.0,12.0,back
tcp,efs,REJ,0.0,0.0,105.0,12.0,neptune
tcp,other,REJ,0.0,0.0,511.0,1.0,satan
tcp,private,REJ,0.0,0.0,238.0,1.0,satan
tcp,ftp,SF,166.0,601.0,1.0,1.0,unknown
tcp,private,S0,0.0,0.0,236.0,10.0,neptune
tcp,private,REJ,0.0,0.0,510.0,1.0,satan
tcp,finger,S0,0.0,0.0,11.0,2.0,neptune
tcp,bgp,S0,0.0,0.0,270.0,12.0,neptune
tcp,private,REJ,0.0,0.0,274.0,12.0,unknown
tcp,systat,S0,0.0,0.0,116.0,12.0,neptune
tcp,netstat,RSTR,0.0,0.0,1.0,1.0,portsweep
udp,private,SF,28.0,0.0,15.0,15.0,teardrop
tcp,private,REJ,0.0,0.0,96.0,19.0,neptune
tcp,telnet,S0,0.0,0.0,67.0,14.0,neptune
tcp,private,REJ,0.0,0.0,139.0,9.0,neptune
tcp,domain,S0,0.0,0.0,268.0,5.0,neptune
tcp,daytime,S0,0.0,0.0,234.0,17.0,neptune
tcp,whois,REJ,0.0,0.0,73.0,1.0,portsweep
tcp,sunrpc,S0,0.0,0.0,250.0,6.0,neptune
icmp,ecr_i,SF,520.0,0.0,81.0,81.0,smurf
tcp,private,S0,0.0,0.0,104.0,14.0,neptune
udp,private,SF,100.0,0.0,3.0,3.0,nmap
tcp,other,S0,0.0,0.0,511.0,1.0,satan
tcp,sql_net,REJ,0.0,0.0,199.0,12.0,neptune
tcp,other,RSTR,1.0,0.0,2.0,2.0,portsweep
udp,private,SF,28.0,0.0,78.0,77.0,teardrop
